Serbian,Russian,Definition
kaše,каша,"Каша — это блюдо, приготовленное из вареных злаков или круп, часто с добавлением молока или воды."
ispratio,удален,Сопроводить кого-либо до места назначения или проводить в путь.
kreativne,творческий,"Творческий, обладающий способностью к созданию новых идей и решений."
телефону,по телефону,Устройство для передачи звуковых сигналов на расстоянии.
nepravilno,нерегулярный,"Неправильно означает не соответствовать нормам, стандартам или правилам."
kopiranje,копирование,"Копирование — это процесс создания точной копии чего-либо, обычно документа или изображения."
odraziti,отражать,Отражать или проявлять что-либо.
trlja,трется,"Тереть, двигать что-либо по поверхности с целью создания трения."
znojav,потный,"Покрытый потом, испытывающий потоотделение."
opsadu,осада,Окружение и блокирование какого-либо места с целью захвата или уничтожения.
ubeđivanja,убеждение,Убеждение в чем-либо или процесс убеждения кого-либо.
чекаш,вы ждете,Ожидать кого-то или что-то.
grafički,графически,Относящийся к графике или графическому дизайну.
unovčiti,обналичить,Обменять что-либо на деньги или получить денежное вознаграждение за что-либо.
sočna,сочный,"Сочный; содержащий много сока, влажный и вкусный."
anarhista,анархист,"Человек, выступающий за анархизм и против всех форм власти и государственного контроля."
naježim,самый жуткий,"Взъерошить или сделать колючим, как у животных или растений."
brej,реветь,
preslab,слишком слаб,"Слишком слабый, недостаточно сильный."
isplovljava,отправляется в плавание,Выводить на поверхность или в открытое море.
efektivno,эффективно,"Эффективно означает действенно, с максимальным результатом при минимальных затратах."
osetljivost,чувствительность,"Чувствительность, способность воспринимать или реагировать на внешние раздражители."
птице,птицы,"Птицы — это класс теплокровных позвоночных животных, характеризующихся перьями, клювом и способностью к полету."
protein,белок,"Белок — это макромолекула, состоящая из аминокислот, играющая ключевую роль в структуре и функции клеток."
cece,муха цеце,
patkice,утята,Уточка — это маленькая водоплавающая птица с коротким клювом и округлым телом.
rap,рэп,"Музыкальный жанр, характеризующийся ритмичным речитативом и часто социально-политической тематикой."
obnavlja,возобновляет,"Возобновлять, восстанавливать что-либо."
nitro,нитро,"Нитро — это химическая группа, содержащая атомы азота и кислорода, часто используемая в производстве взрывчатых веществ и красителей."
zvucalo,звучало,Издавать звук или производить звуковые волны.
ostari,стареть,"Стареть, становиться старше."
bočni,боковой,"Сторонний, находящийся или расположенный сбоку."
smelosti,смелость,"Смелость — это качество человека, проявляющееся в готовности действовать, несмотря на страх или опасность."
penjanja,скалолазание,Подъем на высоту или вертикальную поверхность.
uspavanku,колыбельная,"Колыбельная песня, предназначенная для убаюкивания ребенка."
poučno,поучительный,"Обладающий глубокими знаниями или опытом, способный обучать и наставлять."
izumiranje,вымирание,Исчезновение или уменьшение численности популяции живых существ.
zahvalnicu,благодарственное письмо,"Благодарственное письмо или документ, выражающий признательность."
ugljenik,углерод,"Углерод — это химический элемент с символом C и атомным номером 6, который является основным компонентом органических соединений."
hemisferi,полушария,"Полушарие — это половина сферы, обычно используемая для обозначения половин Земли или мозга."
pohađa,посещает,Посещать учебное заведение или занятия.
livada,луг,"Площадь земли, покрытая травой и другими растениями, обычно используемая для выпаса скота или сельскохозяйственных нужд."
simbolizuje,символизирует,Означать или представлять что-либо в виде символа.
molekuli,молекулы,"Молекула — это наименьшая частица вещества, сохраняющая его химические свойства."
davitelj,душитель,"Убийца, который душит жертву."
sock,носки,
skladištenje,хранилище,Хранение или размещение предметов в определенном месте для последующего использования.
patroliraju,патрулирование,Осуществлять наблюдение или контроль за определенной территорией или объектом.
neopaženo,незамеченным,"Незаметно, без внимания."
čistilište,чистилище,"Место, предназначенное для очищения или удаления нечистот."
klarinet,кларнет,Деревянный духовой музыкальный инструмент с прямым телом и одним тростниковым язычком.
parket,паркет,"Деревянное покрытие для пола, состоящее из отдельных планок или плиток, обычно укладываемое в узоры."
forenzičara,судебный эксперт,"Специалист, занимающийся применением научных методов для расследования преступлений."
pretplatu,подписка,Подписка на получение периодических изданий или услуг.
čitaoci,читатели,"Человек, который читает книги, статьи или другие тексты."
džamiju,мечеть,Мусульманский храм для молитвы и богослужений.
šurak,шурин,Зять.
pinky,мизинец,Мизинец — самый маленький палец на руке.
sledovanje,рацион,"Слежение за чем-либо или кем-либо, наблюдение за процессом или действиями."
izbacivanja,высылки,"Избавление от чего-либо, выбрасывание."
razbesni,разъяренный,"Разозлить, привести в состояние ярости."
bungalov,бунгало,"Одноэтажный дом с крышей, часто окружённый верандой."
krou,ворона,
raznosač,доставщик,"Человек, занимающийся доставкой или разносом чего-либо, например, почты или товаров."
sagledati,рассмотреть,"Посмотреть, оценить или понять что-либо."
gega,кляп,
ukine,отменять,"Устранить, отменить или прекратить действие чего-либо."
istrebljenja,истребление,Уничтожение или полное истребление чего-либо.
nespremnog,неподготовленный,"Не готовый, не подготовленный."
dešnjak,правша,"Правша; человек, который предпочитает использовать правую руку для выполнения различных действий."
дужности,обязанности,"Обязанности, задачи или функции, которые необходимо выполнять."
poricanja,отрицания,Отказ от признания чего-либо или отрицание фактов.
graditelj,строитель,"Строитель, человек, занимающийся возведением зданий и сооружений."
smrzava,холодно,Замораживать или охлаждать до состояния льда.
бомбу,бомбить,"Взрывное устройство, предназначенное для разрушения или уничтожения объектов."
smeška,смайлик,Улыбаться или делать легкую улыбку.
zdesna,справа,"Справа, с правой стороны."
dugmiće,кнопки,"Кнопки или маленькие пуговицы, используемые для застегивания одежды или в качестве декоративного элемента."
заслужује,заслуживает,"заслуживает чего-либо, что связано с признанием или вознаграждением за действия или качества."
зезаш,ты шутишь,
senzacionalno,сенсационный,"Удивительный, вызывающий сенсацию, необычный."
olabavi,ослабить,Освободить от напряжения или сделать менее строгим.
štampač,принтер,Устройство для печати текстов и изображений на бумаге.
salvo,залп,Залп — это одновременный выстрел из нескольких орудий или оружия.
rida,плакать,
utroje,секс втроем,
havi,иметь,
ispliva,появляется,Всплыть на поверхность воды.
vradžbina,колдовство,"Колдовство или магия, используемая для достижения определённых целей."
šrapnel,осколки,"Снаряд, содержащий осколки, которые разлетаются при взрыве, нанося повреждения."
podmukli,коварный,"Коварный, хитрый, способный на предательство."
ugledna,респектабельный,"Уважаемый, имеющий высокий статус или репутацию."
aroma,аромат,"Ароматное вещество, придающее приятный запах."
obaveštajac,офицер разведки,"Человек, занимающийся сбором и анализом информации, обычно в интересах безопасности или разведки."
identificirao,идентифицированы,"Определить или установить личность, характер или принадлежность чего-либо."
muvanje,флирт,"Процесс ухаживания или флирта, часто с элементами манипуляции."
zagrej,разогревать,Нагреть что-либо до более высокой температуры.
vektor,вектор,"Направление и величина, описываемые в пространстве, часто используемые в математике и физике."
hazard,опасность,"Опасность или риск, связанный с возможностью неблагоприятного исхода."
pedesetih,пятидесятые,Пятидесятый по порядку.
preteška,слишком тяжелый,"Тяжёлый, трудный для выполнения или переноса."
korita,желоба,"Лоток или углубление, предназначенное для сбора воды или других жидкостей."
nenajavljen,необъявленный,"Неожиданно появляющийся, не анонсированный."
osi,топоры,"Кость, составляющая скелет позвоночных животных."
palače,дворцы,"Здание, предназначенное для проживания высокопоставленных лиц или для проведения официальных мероприятий."
krzneni,пушистый,Изготавливаемый из меха животных.
pače,утенок,Утёнок — это молодая особь утки.
uglađen,полированный,"Отличающийся утонченностью, элегантностью и культурой."
verbalno,устно,Связанный с речью или словами; устный.
trojci,тройняшки,"Тройка — это группа из трёх человек или предметов, а также название традиционной русской упряжки из трёх лошадей."
zadivi,удивлять,"Удивить, вызвать восхищение или восторг."
organizira,организует,"Организовать что-либо означает упорядочить, структурировать или подготовить для достижения определенной цели."
кревета,кровати,"Кровать, предназначенная для сна или отдыха."
protona,протон,"Частица с положительным зарядом, входящая в состав атомного ядра."
žvaće,жует,"Говорить или издавать звуки, похожие на бульканье или хлюпанье."
mađarske,венгерский,"Венгерский, относящийся к Венгрии или венгерскому языку."
ovogodišnji,в этом году,Относящийся к текущему году.
pokajao,раскаялся,Покаяться — это признать свои ошибки и выразить сожаление о них.
sufle,суфле,
amonijak,аммиак,"Бесцветный газ с резким запахом, используемый в химической промышленности и в качестве удобрения."
meteorit,метеорит,"Космическое тело, которое падает на поверхность Земли или другого небесного тела."
barrow,курган,"Курган — это искусственный холм, обычно используемый для захоронения."
okusi,ароматы,Попробовать на вкус.
криви,изогнутый,Кривой; изогнутый или неправильный по форме.
bucko,круглолицый,
zbrinuta,позаботились о,"Обеспечить заботу или поддержку кому-либо, чтобы решить его проблемы или нужды."
pojebeš,иди на хуй,
harmonije,гармонии,"Состояние согласия и согласованности элементов, создающее целостное и приятное восприятие."
spavalice,спальные мешки,
prepirke,аргументы,"Спор или дискуссия, часто сопровождающаяся эмоциональными выражениями."
neželjene,нежелательный,Нежелательный; не вызывающий желания или одобрения.
zarobe,захватывать,"Захватить кого-либо или что-либо, удерживая в плену."
sjedit,сидеть,"Сидеть на стуле или другом предмете, поддерживающем тело."
umirujuće,успокаивающий,"Успокаивающий, вызывающий чувство спокойствия и расслабления."
krntija,хлам,
osrednji,посредственный,"Средний, посредственный, не выдающийся."
radijator,радиатор,"Устройство для обогрева помещений, передающее тепло через радиацию и конвекцию."
evakuišite,эвакуируюсь,Эвакуировать людей или имущество из опасной зоны.
regionalni,региональный,Относящийся к определённому региону или области.
antilopa,антилопа,"Антилопа — это быстрое травоядное млекопитающее, обитающее в Африке и Азии, относящееся к семейству полорогих."
genetika,генетика,"Наука, изучающая наследственность и вариации организмов."
novčana,денежный,Относящийся к деньгам или финансам.
skijanja,катание на лыжах,Катание на лыжах по снегу или по специальным трассам.
brusnice,клюква,"Клюква — это ягода красного цвета, растущая на низких кустарниках, известная своими кисло-сладкими плодами и полезными свойствами."
ushićen,получивший удовольствие,Состояние восторга или сильного удовольствия.
gage,приколы,
трагове,следы,"Следы, отпечатки или признаки чего-либо."
plitak,мелкий,"Мелкий, не глубокий."
belgijski,бельгийский,"Относящийся к Бельгии или её культуре, языку, народу."
talog,осадок,"Осадок, образующийся на дне жидкости."
nepravedan,несправедливый,"Несправедливый, не соответствующий принципам справедливости."
zatočen,заключенный в тюрьму,Заключить кого-либо в тюрьму или под стражу.
ićićemo,мы пойдем,
pozivanje,звонок,Призыв или обращение к кому-либо с просьбой или требованием.
snalažljiv,находчивый,Умелый в нахождении решений в сложных ситуациях.
prijavljuju,они сообщают,"Сообщать о чем-либо, регистрировать или подавать заявку."
suvišno,лишний,"Избыточный, лишний, не нужный."
čudesnu,чудесный,"Удивительный, вызывающий восхищение или удивление."
oaza,оазис,Место с водой и растительностью в пустыне или засушливой местности.
vijetnamski,вьетнамский,"Вьетнамский — относящийся к Вьетнаму, его культуре, языку или народу."
oživljava,возрождается,"Возвращать к жизни, восстанавливать активность или интерес."
аута,из машины,"Автомобили, средства передвижения на колесах."
рeду,чтобы,
geografije,география,"Наука, изучающая Землю, её поверхность, климат, население и природные ресурсы."
putokaz,указатель,"Указатель, показывающий направление или место."
farmaceutske,фармацевтический,Относящийся к фармацевтике или фармацевтическим препаратам.
takmičarski,конкурентоспособный,"Соревновательный, связанный с конкурсами или соревнованиями."
simbolično,символически,"Символическое означает что-то, что имеет символическое значение или представляет собой символ."
ožive,ожить,Возродиться или вернуть к жизни.
lepljivo,липкий,"Клейкий, способный прилипать к поверхностям."
prethodnik,предшественник,"Предшественник, предшествующий кто-то или что-то."
luki,порты,
rižoto,ризотто,"Блюдо итальянской кухни, приготовленное из риса с добавлением бульона, овощей, мяса или морепродуктов."
druženju,общение,Общение и взаимодействие с другими людьми в неформальной обстановке.
zastavice,флаги,"Маленький флаг или знамя, часто используемое для обозначения чего-либо."
termometar,термометр,Устройство для измерения температуры.
federalac,федералист,"Человек, относящийся к федерации или поддерживающий федеративное устройство."
zev,зевать,"Зев — это действие открытия рта, часто сопровождающееся зевотой, которое происходит при усталости или скуке."
neuništiv,неразрушимый,"Неуничтожимый, не поддающийся разрушению или уничтожению."
boomer,бумер,"Поколение людей, родившихся в период с 1946 по 1964 год, характеризующееся определёнными социальными и культурными особенностями."
znojenje,потоотделение,"Потоотделение, процесс выделения пота из организма."
vrio,кипящий,"Кипеть, бурлить или нагреваться до температуры, при которой жидкость начинает превращаться в пар."
žandar,жандарм,"Военный или полицейский, выполняющий функции охраны порядка."
repe,репа,"Корнеплод, обычно имеющий круглую или удлинённую форму, который используется в пищу."
ослободи,выпускать,"Освободить от чего-либо, дать свободу."
sanatorijum,санаторий,"Место, предназначенное для лечения и восстановления здоровья, часто с использованием природных факторов."
staji,ларек,"Место, где содержатся и ухаживают за животными, особенно скотом."
rezanci,лапша,"Лапша или тонкие полоски теста, используемые в кулинарии."
добијемо,мы получаем,Получаем.
okova,кандалы,"Оков — это металлический или другой крепкий предмет, используемый для связывания или ограничения свободы движения."
termiti,термиты,"Насекомые, живущие в колониях и питающиеся древесиной, часто наносящие ущерб зданиям и растениям."
manija,мания,
kraljičin,королевы,
kravlje,коровы,"Слово, относящееся к коровам или производимому ими."
prilična,симпатичный,"Достаточно большой или значительный по количеству, степени или качеству."
fotografiše,делает фотографии,Снимать изображения с помощью камеры.
kolonjsku,одеколон,
higijenu,гигиена,"Система мер и правил, направленных на поддержание здоровья и предотвращение заболеваний."
potaknuti,поощрять,"Вызвать или побудить к действию, стимул."
pokretač,инициатор,"Устройство или механизм, который инициирует движение или процесс."
litar,литр,"Литар — это единица объема, равная одному кубическому дециметру."
otplatiti,чтобы вернуть,"Возвратить долг или оплатить что-то, что было взято в кредит."
koncentrisan,концентрированный,"Сосредоточенный, внимательный к чему-либо, сконцентрированный."
kružni,круговой,"Круглый, имеющий форму круга."
jedinstva,единство,"Единство — это состояние или качество быть единым, целым, неделимым."
parnice,судебные иски,"Гражданский процесс, связанный с разрешением споров между сторонами в суде."
zabrlja,портит,
nebraska,неполированный,
sinonim,синоним,"Слово, имеющее то же или близкое значение, что и другое слово."
uličice,переулки,Узкая улица или переулок.
pravosudni,судебный,Относящийся к правосудию или судебной системе.
kritikuje,критикует,"Критиковать — это выражать негативное мнение о ком-либо или чем-либо, анализируя недостатки."
kalcijum,кальций,"Химический элемент с символом Ca, необходимый для формирования костей и зубов у человека и животных."
embrion,эмбрион,"Зародыш, ранняя стадия развития организма, находящаяся в утробе матери."
brut,скотина,"Шампанское или вино, не содержащее сахара."
odbacivanja,отказы,Отказ от чего-либо или отвержение.
ubrzanja,ускорение,Ускорение — это изменение скорости движения объекта за единицу времени.
preopterećenje,перегрузка,"Перегрузка, превышение допустимого уровня нагрузки или напряжения."
antropolog,антрополог,"Учёный, изучающий человека, его происхождение, развитие и культурные особенности."
indirektno,косвенно,"Косвенно, не напрямую."
kumče,крестник,"Кумче — это крестник или крестница, то есть ребенок, который был крещен с участием кума или куми."
pobunili,восстали,Восстать против власти или авторитета.
balistički,баллистический,"Связанный с баллистикой, наукой о движении снарядов и их воздействии."
školarac,школьник,"Ученик, который посещает школу."
raspolaganje,утилизация,Распоряжение или управление чем-либо.
izuzetka,исключение,Исключение из общего правила или нормы.
funkcionise,оно работает,"Функционировать, работать, действовать в соответствии с заданными условиями или правилами."
alva,халва,"Сладкое блюдо, обычно из сахара, орехов и масла, популярное в некоторых балканских странах."
izloži,разоблачать,Представить что-либо на показ или в публичное обсуждение.
pregrade,перегородки,"Переграда — это конструкция или элемент, разделяющий пространство на части."
šupljine,полости,Полость или пространство внутри чего-либо.
korupciji,коррупция,Злоупотребление властью или служебным положением с целью получения личной выгоды.
planiranju,планирование,Процесс разработки и организации действий для достижения определенной цели.
огледало,зеркало,"Зеркало — это гладкая поверхность, отражающая свет и изображение."
neograničeno,неограниченный,Неограниченное количество или степень чего-либо.
batista,батист,"Тонкая хлопчатобумажная ткань, обычно используемая для пошива одежды и белья."
herald,вестник,"Глашатай — это лицо, объявляющее важные новости или события, часто от имени власти."
pelikan,пеликан,Большая водоплавающая птица с длинным клювом и характерным мешком под ним.
pravednika,праведный,"Праведник — это человек, который поступает справедливо и добродетельно, соблюдая моральные нормы."
otkinem,оторвать,Оторвать или отрезать что-либо от чего-либо.
zastareo,устаревший,"Устаревший, вышедший из употребления или не соответствующий современным требованиям."
deaktivirati,деактивировать,Отключить или сделать неактивным.
mermer,мрамор,"Мрамор — это метаморфическая горная порода, состоящая в основном из кальцита или доломита, используемая в строительстве и скульптуре."
jagodice,скулы,"Ягодица — это маленький плод, обычно сладкий и сочный, который растет на кустах или деревьях."
partizani,партизаны,"Член вооружённого сопротивления, борющегося против оккупационных сил или угнетателей."
sašila,сшитые,"Сшить ткань или материал, соединяя их с помощью нитки и иглы."
izdvojiti,отделить,"Выделить, отделить что-то от общего."
provaljuje,врывается,
šiške,челка,
тврди,претензии,"Твердый, жесткий, не поддающийся деформации."
pomoćna,вспомогательный,"Полезный, способствующий помощи или поддержке."
plantaža,плантация,"Участок земли, на котором выращивают сельскохозяйственные культуры или растения."
prozvali,позвали,"Призвать кого-либо, вызвать на разговор или действие."
debeljka,толстая женщина,Толстый человек или ребенок.
demonska,демонический,"Демонический, относящийся к демонам или обладающий их свойствами."
sazvežđa,созвездия,"Созвездие — это группа звезд, образующих определённый рисунок на небесной сфере."
trenerku,спортивный костюм,"Спортивный костюм, состоящий из куртки и штанов, предназначенный для занятий спортом или активного отдыха."
ohrabrenje,поощрение,"Поддержка и вдохновение, способствующие повышению уверенности и смелости."
italijanka,итальянка,"Итальянка — женщина, родом из Италии."
kopač,экскаватор,"Рабочий, занимающийся копкой земли или других материалов."
organizuj,организовать,Организовать — это создать порядок или структуру в каком-либо процессе или мероприятии.
stereotip,стереотип,"Устойчивый образ или представление о группе людей или явлении, часто основанное на обобщениях и предвзятостях."
golijat,голиаф,
čokoladnu,шоколад,Шоколадный - относящийся к шоколаду или содержащий его.
dip,окунать,
sinula,осенило,
gorilu,горилла,"Горилла — крупная обезьяна, обитающая в тропических лесах Африки."
pobožan,благочестивый,"Богобоязненный, преданный религиозным убеждениям."
krastavci,огурцы,"Овощ с зеленой кожурой и хрустящей мякотью, часто используемый в салатах и закусках."
bendžo,банджо,
prizvao,вызванный,"Призвать — это вызвать кого-либо или что-либо, призывая к действию или участию."
saznaje,узнает,"Узнавать, получать информацию о чем-либо."
umotan,завернутый,"Завернуть что-либо в что-либо, обернуть."
suspenzija,приостановка,Приостановка действия или временное прекращение чего-либо.
parčiće,куски,Небольшой кусочек или часть чего-либо.
radikalne,радикальный,"Крайний, решительный, касающийся основ или корней чего-либо."
neočekivan,непредвиденный,"Неожиданный, непредсказуемый."
maloletnike,несовершеннолетние,"Несовершеннолетний человек, не достигший возраста, установленного законом для совершеннолетия."
kalijum,калий,"Химический элемент с символом K и атомным номером 19, относящийся к группе щелочных металлов."
okupa,купаться,Омыть или погрузить в воду.
sauna,сауна,"Парная комната, предназначенная для прогревания тела с помощью горячего воздуха и пара."
kočenja,торможение,Процесс замедления или остановки движения транспортного средства.
omamljivač,потрясающее зрелище,"Средство, вызывающее состояние опьянения или сонливости."
šljokice,пайетки,"Мелкий блестящий элемент, часто используемый в декоративных целях."
vire,заглянуть,Подсматривать или заглядывать куда-либо.
pojima,условия,
rite,обряд,
humano,гуманный,"Существо, обладающее разумом и способностью к социальному взаимодействию."
glamur,гламур,"Яркое, привлекательное и роскошное качество, часто ассоциируемое с модой и стилем."
auspuh,выхлоп,"Выхлопная система автомобиля, предназначенная для удаления отработанных газов."
tanker,танкер,"Судно, предназначенное для перевозки жидких грузов, таких как нефть или химикаты."
brlog,логово,"Логово или укрытие для животных, особенно для медведей."
зовемо,мы звоним,"Мы зовем кого-то или что-то, призывая его к себе."
obožavanje,поклонение,Поклонение или глубокое уважение к кому-либо или чему-либо.
grejvs,могилы,
кеси,сумки,Пакет или мешок для хранения и транспортировки товаров.
gliser,быстроходный катер,"Глиссер — это быстроходное судно, предназначенное для передвижения по воде на малых глубинах."
klošar,бездельничать,"Бедный человек, живущий на улице и часто просящий милостыню."
mirtl,мирт,
jahanju,езда,Процесс верховой езды на лошади.
ostarila,в возрасте,"Устареть, стать старым или потерять свежесть."
uskladiti,гармонизировать,"Привести в соответствие, согласовать."
komšinice,соседи,"Соседка, женщина, живущая рядом."
supernova,сверхновая,"Сверхновая — это мощный взрыв звезды в конце её жизненного цикла, приводящий к значительному увеличению её яркости."
kasting,кастинг,"Отбор участников для участия в проекте, обычно в сфере кино, телевидения или моды."
antihrist,антихрист,"Лицо или сила, противостоящие Христу и представляющие зло в христианской эсхатологии."
simfonija,симфония,"Музыкальное произведение, состоящее из нескольких частей, обычно для оркестра."
neutralni,нейтральный,"Не имеющий выраженной позиции или предпочтения, беспристрастный."
isperi,смывать,"Смыть или очистить что-либо, обычно с помощью воды."
slušni,слуховой,"Слуховой, относящийся к восприятию звуков."
zamrzavanje,замораживание,Процесс превращения жидкости в твердое состояние при низкой температуре.
misionar,миссионер,"Человек, который проповедует или распространяет религиозные учения, часто в других странах или среди других народов."
kolera,холера,"Инфекционное заболевание, вызываемое бактерией Vibrio cholerae, характеризующееся тяжелой диареей и обезвоживанием."
postojeće,существующий,"Существующий, имеющийся в данный момент."
izlasci,выходить,"Выход, выезд или акт покидания какого-либо места."
pudlica,пудель,"Пудель — это порода собак с кудрявой шерстью, известная своим интеллектом и дружелюбным характером."
regrut,рекрут,"Человек, призванный на военную службу или на работу в определённой сфере."
ističu,они подчеркивают,"Подчеркивать, выделять или акцентировать что-либо."
момцима,мальчикам,
kalifornijski,калифорнийский,Калифорнийский — относящийся к штату Калифорния в США.
alijanse,союзы,Союз нескольких государств или организаций для достижения общих целей.
neumorno,неустанно,"Неутомимо, без усталости."
izraelski,израильский,"Относящийся к Израилю или его культуре, народу, языку."
poverenik,попечитель,"Представитель, назначенный для выполнения определённых задач или обязанностей от имени другого лица или организации."
zagađenje,загрязнение,Загрязнение — это процесс ухудшения качества окружающей среды в результате воздействия вредных веществ.
ulizica,подхалим,"Льстец, человек, который угождает другим ради собственной выгоды."
uvale,бухты,"Углубление в береговой линии, образующее бухту или залив."
intelektualac,интеллектуальный,"Человек, обладающий высоким уровнем интеллекта и стремящийся к знаниям."
najtraženijih,самый разыскиваемый,Поиск или стремление найти что-либо.
kolevku,колыбель,"Качели для младенца, обычно сделанные из ткани или дерева, предназначенные для укачивания."
sneška,снеговик,
затворен,закрыто,"Закрытый, недоступный для входа или общения."
